chrname,book,book.id,book.json,names in book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
Richard Carstone,Bleak House,bleak_house.book,,Richard/Carstone,1,1,2,1,6,4,2.495,1.5,2,0.93409786,-0.127153484,-1.381340537,-1.607429717,-1.504927917
Caroline Jellyby (Caddy),Bleak House,bleak_house.book,,Caddy,2,1,2,1,5,3.5,6.5,3,5.5,0.372194443,-0.387949847,0.912662401,-0.666930943,0.622273035
Esther Summerson,Bleak House,bleak_house.book,,I/Esther/Miss Summerson,2,1,1,1,2,6.5,6.75,5,4.416666667,-1.313515806,1.176828333,1.055858589,0.587067423,-0.036146307
George Rouncewell,Bleak House,bleak_house.book,,Mr. George/George,1,1,1,1,3.5,6.5,5,4.5,5.5,-0.470660681,1.176828333,0.053485271,0.273567831,0.622273035
Harold Skimpole,Bleak House,bleak_house.book,,Mr. Skimpole/Harold,1,1,1,1,6.5,1,1,4,2,1.215049568,-1.691931664,-2.237653744,-0.03993176,-1.504927917
Inspector Bucket,Bleak House,bleak_house.book,,Mr. Bucket/Bucket,1,1,2,1,2,5,7,7,4,-1.313515806,0.394439243,1.199054778,1.841065788,-0.289384516
Jo,Bleak House,bleak_house.book,,Jo,1,1,1,1,2.75,6,6.25,3.75,5.25,-0.892088244,0.91603197,0.769466213,-0.196681556,0.47033011
John Jarndyce,Bleak House,bleak_house.book,,John Jarndyce/John,1,1,2,1,3.5,6.833333333,5.666666667,4,4.833333333,-0.470660681,1.350692576,0.435341773,-0.03993176,0.217091901
Godwin Peak,Born in Exile,born_in_exile.book,,Godwin,1,1,1,1,3.5,4,7,6.5,6.5,-0.470660681,-0.127153484,1.199054778,1.527566197,1.230044735
Lady Glencora Mc Cluskie,Can You Forgive Her?,can_you_forgive_her.book,,Lady Glencora,2,1,1,1,6.5,4.5,3.5,2.75,3,1.215049568,0.13364288,-0.80569186,-0.823680739,-0.897156216
Alice Vavasor,Can You Forgive Her?,can_you_forgive_her.book,,Alice,2,1,1,1,1.75,6.75,5.125,2.875,6.625,-1.453991661,1.307226515,0.125083365,-0.745305841,1.306016198
Burgo Fitzgerald,Can You Forgive Her?,can_you_forgive_her.book,,Burgo,1,2,1,1,6,6,1,5.5,3.5,0.93409786,0.91603197,-2.237653744,0.900567014,-0.593270366
George Vavasor,Can You Forgive Her?,can_you_forgive_her.book,,George,1,2,1,1,4.5,1.5,2,1.5,5,0.091242735,-1.431135301,-1.66486899,-1.607429717,0.318387185
John Grey,Can You Forgive Her?,can_you_forgive_her.book,,Mr. Grey/John Grey,1,1,2,1,4.495,6.5,7,7,1,0.088433218,1.176828333,1.199054778,1.841065788,-2.112699617
Mr. Cheyne,Captains Courageous,captains_courageous.book,,Mr. Cheyne,1,1,2,1,3.5,4.5,6.5,5.5,4.5,-0.470660681,0.13364288,0.912662401,0.900567014,0.014501334
Disko Troop,Captains Courageous,captains_courageous.book,,Disko,1,1,2,1,6,6,6.5,5.5,3.5,0.93409786,0.91603197,0.912662401,0.900567014,-0.593270366
Harvey Cheyne,Captains Courageous,captains_courageous.book,,Harvey,1,1,1,1,4.5,2.5,4.5,2,4,0.091242735,-0.909542574,-0.232907106,-1.293930126,-0.289384516
David Balfour,Catriona,catriona.book,,David/Davie/Balfour,1,1,1,1,4.5,6,6,6,6,0.091242735,0.91603197,0.626270024,1.214066605,0.926158885
Harry Coningsby,Coningsby,coningsby.book,,Harry/Mr. Coningsby,1,1,1,1,6.5,6,7,5.5,7,1.215049568,0.91603197,1.199054778,0.900567014,1.533930585
Daisy Miller,Daisy Miller,daisy_miller.book,,Daisy/Miss Miller,2,1,2,1,6.833333333,6,3,3.666666667,6.333333333,1.402350707,0.91603197,-1.092084237,-0.248931488,1.128749452
Frederick Winterbourne,Daisy Miller,daisy_miller.book,,Winterbourne,1,1,2,1,2.5,2,6.5,6.5,1.5,-1.032564098,-1.170338937,0.912662401,1.527566197,-1.808813767
Giovanelli,Daisy Miller,daisy_miller.book,,Giovanelli,1,1,2,1,7,6,5,5.5,4.5,1.496001277,0.91603197,0.053485271,0.900567014,0.014501334
Catherine Arrowpoint,Daniel Deronda,daniel_deronda.book,,Catherine,2,1,2,2,1.5,6.5,7,6.5,6.5,-1.594467515,1.176828333,1.199054778,1.527566197,1.230044735
Daniel Deronda,Daniel Deronda,daniel_deronda.book,,Daniel/Deronda,1,1,1,2,4.25,6.75,7,6.25,6.75,-0.049233119,1.307226515,1.199054778,1.370816401,1.38198766
Ezra Mordecai Cohen,Daniel Deronda,daniel_deronda.book,,Ezra/Mordecai,1,1,2,2,7,5,7,3.5,7,1.496001277,0.394439243,1.199054778,-0.353431352,1.533930585
Gwendolen Harleth,Daniel Deronda,daniel_deronda.book,,Gwendolen,2,1,1,2,5.833333333,3.5,4.166666667,2.833333333,5.166666667,0.840447291,-0.387949847,-0.423835358,-0.771430807,0.419682468
Miss Betsey Trotwood,David Copperfield,david_copperfield.book,,Miss Trotwood/Miss Betsey,2,1,2,1,6.125,4.25,6.49875,4.375,4.625,1.004335787,0.003244698,0.91194642,0.195192933,0.090472797
Mr. Wilkins Micawber,David Copperfield,david_copperfield.book,,Mr. Micawber,1,1,2,1,6.833333333,6.5,2,3.5,5.166666667,1.402350707,1.176828333,-1.66486899,-0.353431352,0.419682468
Rosa Dartle,David Copperfield,david_copperfield.book,,Rosa/Miss Dartle,2,2,1,1,3.5,1,5.5,1.5,7,-0.470660681,-1.691931664,0.339877647,-1.607429717,1.533930585
Barkis,David Copperfield,david_copperfield.book,,Barkis,1,1,2,1,3,5.75,6,6,1.75,-0.75161239,0.785633788,0.626270024,1.214066605,-1.656870842
Clara Copperfield,David Copperfield,david_copperfield.book,,my mother,2,1,2,1,1.5,6,3.5,2,1.5,-1.594467515,0.91603197,-0.80569186,-1.293930126,-1.808813767
David Copperfield,David Copperfield,david_copperfield.book,,I/David/Mr. Copperfield,1,1,1,1,4.75,7,4.75,4.75,5.25,0.231718589,1.437624697,-0.089710918,0.430317627,0.47033011
Emily (Little Em'ly),David Copperfield,david_copperfield.book,,Emily/Em'ly,2,1,1,1,4,4,4,3.5,5.5,-0.189708973,-0.127153484,-0.519299483,-0.353431352,0.622273035
James Steerforth,David Copperfield,david_copperfield.book,,James/Steerforth,1,1,2,1,6.25,3.5,3,3.75,5,1.074573714,-0.387949847,-1.092084237,-0.196681556,0.318387185
Mrs. Edith Granger (later Edith Dombey),Dombey and Son,dombey_and_son.book,,Edith,2,1,2,1,3,3.25,6.75,4,6.75,-0.75161239,-0.518348029,1.055858589,-0.03993176,1.38198766
Florence Dombey,Dombey and Son,dombey_and_son.book,,Florence,2,1,1,1,2.833333333,6.833333333,5.666666667,4.5,5.5,-0.845262959,1.350692576,0.435341773,0.273567831,0.622273035
Arthur Holmwood,Dracula,dracula.book,,Arthur,1,1,2,1,7,6.5,4.5,4.5,4.5,1.496001277,1.176828333,-0.232907106,0.273567831,0.014501334
Count Dracula,Dracula,dracula.book,,Dracula,1,2,1,1,3.958333333,3.25,5.041666667,4.333333333,4.541666667,-0.213121616,-0.518348029,0.077351302,0.169067967,0.039825155
Dr. Seward,Dracula,dracula.book,,John/Dr. Seward,1,1,2,1,3.5,5.5,7,5.5,6.5,-0.470660681,0.655235607,1.199054778,0.900567014,1.230044735
Dr. Van Helsing,Dracula,dracula.book,,Van Helsing,1,1,2,1,3.9,4.6,7,6,6.1,-0.245899315,0.185802152,1.199054778,1.214066605,0.986936055
Jonathan Harker,Dracula,dracula.book,,Jonathan,1,1,1,1,6,6.5,6.5,3.125,5.375,0.93409786,1.176828333,0.912662401,-0.588556045,0.546301572
Lucy Westenra,Dracula,dracula.book,,Lucy/Miss Westenra,2,1,2,1,6.833333333,4.666666667,2.666666667,3.666666667,6.333333333,1.402350707,0.220575001,-1.283012488,-0.248931488,1.128749452
Mina Murray,Dracula,dracula.book,,Mina,2,1,2,1,3.583333333,6.833333333,6.833333333,5.416666667,5.416666667,-0.423835397,1.350692576,1.103590652,0.848317082,0.571625393
Augusta Elton,Emma,emma.book,,Mrs. Elton/Augusta/Miss Hawkins,2,2,1,2,6.928571429,1.5,4.070714286,2.785714286,3.214285714,1.455865318,-1.431135301,-0.478795418,-0.801287911,-0.766919423
Emma Woodhouse,Emma,emma.book,,Emma,2,1,1,2,6.439054054,4.253175676,4.506621622,4.594391892,5.520067568,1.180803833,0.004901107,-0.229114342,0.33275147,0.634469534
Frank Churchill,Emma,emma.book,,Frank,1,1,2,2,6.833333333,4.333333333,1.5,3.5,5.333333333,1.402350707,0.046710759,-1.951261367,-0.353431352,0.520977751
George Knightley,Emma,emma.book,,Mr. Knightley,1,1,2,2,3.6,4.766666667,6.266333333,5.532666667,4.4,-0.41447034,0.272734274,0.778821697,0.921048987,-0.046275836
Harriet Smith,Emma,emma.book,,Harriet,2,1,2,2,3.333333333,6.333333333,3,2.833333333,3.166666667,-0.564311251,1.089896212,-1.092084237,-0.771430807,-0.795860933
Henry Woodhouse,Emma,emma.book,,Mr. Woodhouse,1,1,2,2,3.25,4.5625,2.8125,1.375,2.5,-0.611136536,0.166242425,-1.199481378,-1.685804615,-1.201042066
Isabella Knightley,Emma,emma.book,,Isabella,2,1,2,2,4.75,4.75,3.25,1.75,2.25,0.231718589,0.264041061,-0.948888048,-1.450679921,-1.352984991
Jane Fairfax,Emma,emma.book,,Jane,2,1,2,2,1.05,5.45,6.75,3.95,4.7,-1.847324052,0.62915597,1.055858589,-0.071281719,0.136055674
