chrname,book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
HenryTilney,Northanger_Abbey,1,1,2,2,5.25,6.25,6.5,6.25,5.5,0.512670298,1.046430152,0.912662401,1.370816401,0.622273035
HenryWilcox,,1,1,2,1,2.5,2,7,2.5,2.5,-1.032564098,-1.170338937,1.199054778,-0.980430534,-1.201042066
HenryWoodhouse(Emma?father),Emma,1,1,2,2,3.25,4.5625,2.8125,1.375,2.5,-0.611136536,0.166242425,-1.199481378,-1.685804615,-1.201042066
HerbertPocket,,1,1,2,1,5.5,7,4,7,3.5,0.653146152,1.437624697,-0.519299483,1.841065788,-0.593270366
Hester(Hetty)Sorrel,,2,,,2,4.5,5,3,3.5,3.666666667,0.091242735,0.394439243,-1.092084237,-0.353431352,-0.491975083
HumptyDumpty,,1,,,1,6.5,1.25,6.25,5.75,3.5,1.215049568,-1.561533482,0.769466213,1.05731681,-0.593270366
InspectorBucket,,1,,,1,2,5,7,7,4,-1.313515806,0.394439243,1.199054778,1.841065788,-0.289384516
IreneHeronForsyte,,2,1,2,1,2.5,7,7,5,7,-1.032564098,1.437624697,1.199054778,0.587067423,1.533930585
IsabelArcher,,2,1,1,1,5.1,4.25,4.9495,4.3495,5.7,0.428384785,0.003244698,0.02455964,0.179204454,0.743827375
IsabellaKnightley,,2,1,2,2,4.75,4.75,3.25,1.75,2.25,0.231718589,0.264041061,-0.948888048,-1.450679921,-1.352984991
IsabellaLinton,wuthering_heights,2,1,2,2,6,4,3.5,2.5,2.5,0.93409786,-0.127153484,-0.80569186,-0.980430534,-1.201042066
IsabellaThorpe,,2,,,2,6.125,2.25,2.75,3,4.5,1.004335787,-1.039940756,-1.235280425,-0.666930943,0.014501334
JackyBast,,2,2,2,1,5,6,2,2.5,1,0.372194443,0.91603197,-1.66486899,-0.980430534,-2.112699617
JamesDurie,,1,2,1,1,7,1,4,6.5,7,1.496001277,-1.691931664,-0.519299483,1.527566197,1.533930585
James Steerforth,david_copperfield,1,1,2,1,6.25,3.5,3,3.75,5,1.074573714,-0.387949847,-1.092084237,-0.196681556,0.318387185
JamesVane,,1,2,2,1,2.5,1.5,6,2.5,5,-1.032564098,-1.431135301,0.626270024,-0.980430534,0.318387185
